#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id_board
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:52:24Z,100902.55,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:54:28Z,100905.77,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:56:32Z,100902.28,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:33:33Z,101033.62,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:35:33Z,101029.45,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:37:33Z,101028.64,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:39:33Z,101026.62,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:41:33Z,101024.0,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:43:33Z,101027.05,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:45:33Z,101028.91,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:47:33Z,101028.31,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:49:33Z,101026.81,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:51:33Z,101026.86,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:53:33Z,101022.0,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:55:33Z,101023.86,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:57:33Z,101018.33,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T22:59:33Z,101022.56,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:01:33Z,101016.95,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:03:33Z,101017.47,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:05:33Z,101018.84,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:07:33Z,101020.95,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:09:33Z,101017.98,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:11:33Z,101018.71,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:13:33Z,101019.47,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:15:33Z,101021.7,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:17:33Z,101023.76,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:19:33Z,101027.72,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:21:37Z,101022.44,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:23:42Z,101030.15,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:25:46Z,101025.91,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:27:50Z,101027.86,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:29:54Z,101025.43,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:31:59Z,101022.81,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:34:03Z,101026.13,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:36:07Z,101028.0,pressure,sensor_measurements,3750866944
